genotypes	sitio	EX	NS	BG	PT
Inno2_1	EEMAC	79.9204959	520.7922683	561.5560778	10.4008567
Inno2_8	EEMAC	80.21333024	539.0572045	642.0097035	10.02564321
Inno2_10	EEMAC	80.61471095	531.2293747	763.600777	10.22848662
Inno2_12	EEMAC	80.97816794	543.6234385	455.5530706	10.02038682
Inno2_14	EEMAC	80.61212501	554.7128641	375.099445	10.20799357
Inno2_15	EEMAC	80.23577607	546.8850343	657.7112483	10.25421019
Inno2_16	EEMAC	80.46570784	531.2293747	567.8139436	9.870301425
Inno2_17	EEMAC	81.11427911	624.5110131	450.9641405	10.47933829
Inno2_18	EEMAC	80.65258176	502.5273321	706.5597055	10.10068591
Inno2_19	EEMAC	80.52861042	573.6301194	459.383706	10.32925289
Inno2_20	EEMAC	79.80941651	505.1366087	793.5370098	10.22848662
Inno2_26	EEMAC	80.21333024	509.7028428	766.432171	9.875557809
Inno2_27	EEMAC	80.98075389	486.2193534	786.9884588	9.553102327
Inno2_33	EEMAC	79.84728731	531.2293747	481.1024522	10.06316456
Inno2_34	EEMAC	80.74823617	505.1366087	534.224288	9.766432644
Inno2_35	EEMAC	81.04107052	622.5540556	384.543124	9.916518042
Inno2_36	EEMAC	79.29437046	568.4115662	516.3610435	NA
Inno2_37	EEMAC	79.44078763	574.2824386	623.9443801	10.24551492
Inno2_38	EEMAC	80.24608208	552.1035875	726.8501803	10.05790817
Inno2_39	EEMAC	80.6853336	513.6167577	489.2313325	9.457566579
Inno2_40	EEMAC	80.61212501	505.1366087	778.3030805	10.05790817
Inno2_43	EEMAC	80.24866802	500.5703747	539.079031	9.778230425
Inno2_44	EEMAC	80.72579034	584.7195449	534.4263669	9.875557809
Inno2_45	EEMAC	80.67502759	498.6134172	965.4931417	9.991560741
Inno2_11	EEMAC	79.48124438	507.7458853	819.7560857	10.4758994
Inno2_13	EEMAC	80.23577607	586.0241832	442.544575	10.70446638
Inno2_21	EEMAC	80.97816794	542.3188002	462.1016216	9.907822774
Inno2_22	EEMAC	79.99370448	511.6598002	676.6234727	10.02564321
Inno2_23	EEMAC	80.46570784	508.3982045	458.3595925	9.907822774
Inno2_24	EEMAC	80.21333024	567.7592471	479.2314377	9.950600508
Inno2_3	EEMAC	80.90495935	516.8783534	666.0422075	9.757737376
Inno2_30	EEMAC	80.21333024	514.2690768	530.6843378	9.76299376
Inno2_31	EEMAC	80.83175077	545.580396	448.0690124	9.907822774
Inno2_32	EEMAC	77.24711599	745.8423748	669.1145422	11.35412711
Inno2_4	EEMAC	79.37016499	523.4015449	852.4739681	10.04087987
Inno2_5	EEMAC	80.432956	503.1796513	664.4618781	9.913079158
Inno2_6	EEMAC	80.02645632	559.9314173	602.4277128	10.20799357
Inno2_9	EEMAC	80.97816794	525.3585024	575.2980018	9.682694676
Inno3_1	EEMAC	79.9204959	494.0471832	803.852462	10.28829265
Inno3_3	EEMAC	81.09183328	552.1035875	597.1053543	9.875557809
Inno3_4	EEMAC	80.24608208	516.8783534	757.7219204	10.24551492
Inno3_5	EEMAC	80.72579034	587.3288215	633.590138	10.2507713
Inno3_6	EEMAC	80.23577607	530.5770555	793.3598031	10.25421019
Inno3_7	EEMAC	80.50616459	559.9314173	636.3966598	10.21324996
Inno3_8	EEMAC	80.46829378	549.4943109	529.7239582	10.52865742
Inno3_9	EEMAC	80.75854218	484.2623959	832.5625024	9.832780075
Inno3_10	EEMAC	80.38219324	586.0241832	559.4829844	10.32925289
Inno3_11	EEMAC	81.12717106	572.3254811	432.4312017	10.22848662
Inno3_12	EEMAC	81.12458511	505.7889279	564.0719145	9.945344124
Inno3_13	EEMAC	80.53891642	506.441247	780.174095	10.05790817
Inno3_14	EEMAC	79.51658216	546.2327151	532.5304801	10.26600797
Inno3_15	EEMAC	79.26161862	531.8816938	685.9785454	10.4008567
Inno3_16	EEMAC	80.52861042	538.4048853	588.4837099	9.916518042
Inno3_17	EEMAC	80.61212501	525.3585024	569.6849582	10.35807897
Inno3_18	EEMAC	81.41741946	540.3618428	477.0697379	9.907822774
Inno3_19	EEMAC	80.9075453	555.3651832	468.9159854	9.965837173
Inno3_20	EEMAC	80.83433671	492.0902257	698.1152677	9.703187726
Inno3_22	EEMAC	79.88003915	548.1896726	480.811767	10.35807897
Inno3_23	EEMAC	80.52861042	501.875013	707.2931338	9.803953993
Inno3_24	EEMAC	80.90495935	521.4445875	325.5175594	9.532609278
Inno3_26	EEMAC	80.83433671	510.3551619	584.9188875	9.928315823
Inno3_27	EEMAC	79.62766155	551.4512683	767.3676783	10.2507713
Inno3_28	EEMAC	80.74823617	587.3288215	580.9996517	10.25421019
Inno3_29	EEMAC	81.4200054	557.3221407	438.0442453	9.815751774
Inno3_30	EEMAC	80.6853336	540.3618428	658.5581493	10.20799357
Inno3_31	EEMAC	80.30898466	545.580396	784.0047304	10.55438099
Inno3_32	EEMAC	80.24866802	544.2757577	671.921064	10.26600797
Inno3_33	EEMAC	80.3950852	572.9778003	628.8877294	10.19096527
Inno3_34	EEMAC	80.21333024	554.0605449	507.2966559	10.58846345
Inno3_35	EEMAC	80.3950852	591.2427364	633.5652658	10.60370012
Inno3_36	EEMAC	80.68791954	546.8850343	464.238449	9.965837173
Inno3_37	EEMAC	80.76112813	551.4512683	610.1775839	10.19096527
Inno3_38	EEMAC	79.88262509	567.1069279	498.8522182	10.11592257
Inno3_39	EEMAC	80.32187661	577.5440343	582.1123656	10.26600797
Inno3_40	EEMAC	81.18748769	553.4082258	352.7358767	9.991560741
Inno3_41	EEMAC	81.33390486	530.5770555	459.383706	9.803953993
Inno3_42	EEMAC	79.94294173	572.9778003	363.961964	9.803953993
Inno3_43	EEMAC	79.44078763	569.0638854	737.1407604	10.39560032
Inno3_44	EEMAC	80.601819	550.7989492	595.0322609	10.21668884
Inno3_2	EEMAC	80.6853336	550.7989492	547.2327836	9.907822774
Inno3_21	EEMAC	81.55353062	535.7956087	501.4815334	10.06660344
Inno3_25	EEMAC	81.04107052	528.6200981	706.3576266	10.32925289
Inno3_45	EEMAC	80.50616459	599.0705662	672.8814436	10.51342075
Inno4_1	EEMAC	80.432956	526.0108215	346.3894046	9.800515109
Inno4_2	EEMAC	80.46829378	509.0505236	729.9225151	9.815751774
Inno4_3	EEMAC	79.70087014	614.0739067	326.7437518	10.5509421
Inno4_4	EEMAC	81.05137653	561.2360556	403.1646632	9.982865473
Inno4_5	EEMAC	80.432956	544.2757577	498.8770904	9.838036459
Inno4_6	EEMAC	79.94294173	535.1432896	447.2221114	10.06660344
Inno4_7	EEMAC	80.75854218	614.0739067	333.0016176	10.05790817
Inno4_9	EEMAC	80.76112813	488.82863	619.5326566	9.440538278
Inno4_10	EEMAC	80.21333024	499.2657364	581.2017306	9.875557809
Inno4_11	EEMAC	80.45540183	513.6167577	726.0032793	9.578825895
Inno4_12	EEMAC	80.432956	543.6234385	386.6162174	9.68795106
Inno4_13	EEMAC	80.74823617	574.9347577	562.2895062	9.954039392
Inno4_14	EEMAC	80.02645632	563.8453322	444.3269833	10.32055762
Inno4_16	EEMAC	80.06691307	554.7128641	675.6879654	10.13820726
Inno4_17	EEMAC	79.48124438	573.6301194	627.0415871	10.325814
Inno4_19	EEMAC	80.17545944	582.7625875	351.0420687	10.11592257
Inno4_20	EEMAC	79.79652455	588.6334598	581.935159	10.17916749
Inno4_21	EEMAC	78.7844963	554.7128641	544.6920746	10.34105067
Inno4_22	EEMAC	80.30898466	582.1102683	275.0887728	9.991560741
Inno4_23	EEMAC	80.38219324	576.8917152	316.2510929	9.691389944
Inno4_24	EEMAC	80.89465335	629.7295662	517.385157	10.10412479
Inno4_26	EEMAC	79.48124438	571.673162	656.9778199	10.13820726
Inno4_27	EEMAC	79.55445296	537.7525662	633.590138	9.950600508
Inno4_28	EEMAC	78.55197859	515.5737151	493.9974752	9.841475343
Inno4_29	EEMAC	80.3950852	592.5473747	321.1058359	10.11592257
Inno4_30	EEMAC	80.02904226	586.6765024	543.7565674	10.26600797
Inno4_15	EEMAC	80.72579034	525.3585024	528.8133232	9.950600508
Inno4_8	EEMAC	81.12458511	529.9247364	636.1059747	9.870301425
Conchita	EEMAC	81.35	570	482.25	10.65
CLE267	EEMAC	81.125	673	298.5	11.1
Kalena	EEMAC	81.5	571.25	323.25	11.1
Livia	EEMAC	81.58341895	615.6666667	85.44255986	10.04159196
