genotipo	sitio	anio	HM	EX	PM	NS	IK	FR	VIS	PD	BG	ATL	amb
Haisa	EEMAC	2008a	5.6	78.4	11	661	37	52	1.76	286	857	NA	EEMAC _ 2008a
Hanna	EEMAC	2008a	5.8	75.1	14.3	828	36	41	1.57	523	491	NA	EEMAC _ 2008a
Harring	EEMAC	2008a	5.6	78.9	12.6	919	45	60	1.54	507	367	NA	EEMAC _ 2008a
Isaria	EEMAC	2008a	6	78.5	12.4	670	34	40	1.8	382	960	NA	EEMAC _ 2008a
Karl	EEMAC	2008a	5.2	82	10	837	52	87	1.54	458	157	NA	EEMAC _ 2008a
Kenia	EEMAC	2008a	5.4	78	11.3	682	38	57	1.73	264	689	NA	EEMAC _ 2008a
Lisa	EEMAC	2008a	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EEMAC _ 2008a
Logan	EEMAC	2008a	5.4	81.2	10.6	733	43	63	1.69	401	530	NA	EEMAC _ 2008a
Magn102	EEMAC	2008a	5.7	76.4	12.7	710	35	47	1.69	421	621	NA	EEMAC _ 2008a
Magn104	EEMAC	2008a	5.9	76.2	13.3	775	36	17	1.61	425	604	NA	EEMAC _ 2008a
MaltHed	EEMAC	2008a	5.4	80	9.9	698	44	69	1.58	268	451	NA	EEMAC _ 2008a
MN599	EEMAC	2008a	5.5	79.8	12.3	803	41	60	1.55	290	398	NA	EEMAC _ 2008a
Mn610	EEMAC	2008a	5.9	77.2	14.1	765	34	41	1.61	280	707	NA	EEMAC _ 2008a
ND10277	EEMAC	2008a	5.5	83.6	10.6	842	50	69	1.58	420	316	NA	EEMAC _ 2008a
Perun	EEMAC	2008a	5.5	79.3	11.8	677	36	58	1.66	373	659	NA	EEMAC _ 2008a
Pirolin	EEMAC	2008a	5.5	76.3	12.8	776	38	49	1.54	514	282	NA	EEMAC _ 2008a
PlArcher	EEMAC	2008a	5.1	75.7	12	721	37	45	1.66	350	605	NA	EEMAC _ 2008a
Prior	EEMAC	2008a	5.2	76.6	12.6	798	40	46	1.69	343	486	NA	EEMAC _ 2008a
QAyelen	EEMAC	2008a	5.5	80.3	9.8	600	38	76	1.56	286	340	NA	EEMAC _ 2008a
QPampa	EEMAC	2008a	5.3	79.1	10.8	738	43	75	1.5	401	90	NA	EEMAC _ 2008a
Quebrac	EEMAC	2008a	5.9	78.1	12.2	670	34	26	1.72	312	790	NA	EEMAC _ 2008a
Scarlet	EEMAC	2008a	5.3	79.6	12.4	761	38	61	1.59	423	419	NA	EEMAC _ 2008a
Stirlin	EEMAC	2008a	5.6	80.2	10.9	703	40	58	1.63	400	640	NA	EEMAC _ 2008a
Trumpf	EEMAC	2008a	5.2	80.8	10.5	747	44	81	1.56	336	218	NA	EEMAC _ 2008a
Union	EEMAC	2008a	5.3	76.9	13.8	862	39	58	1.63	437	403	NA	EEMAC _ 2008a
Villa	EEMAC	2008a	5.2	81.2	10.4	674	40	68	1.63	274	496	NA	EEMAC _ 2008a
Volla	EEMAC	2008a	5.5	78.3	14	839	37	45	1.57	373	556	NA	EEMAC _ 2008a
WMR1	EEMAC	2008a	5.3	76.9	12	691	36	32	1.61	480	530	NA	EEMAC _ 2008a
Ymer	EEMAC	2008a	5.6	78.1	10.9	601	34	60	1.68	406	403	NA	EEMAC _ 2008a
Ambev48	EEMAC	2008b	4.7	77.9	14.6	825	35.3	NA	NA	357	900	80.3	EEMAC _ 2008b
Ana	EEMAC	2008b	5	75.8	15.1	862	35.7	44.3	NA	281	679	74.3	EEMAC _ 2008b
Atlas57	EEMAC	2008b	5.3	74.2	13.9	707	31.9	24.1	NA	245	525	78.9	EEMAC _ 2008b
Aurore	EEMAC	2008b	4.7	75.3	18.6	876	29.4	40.8	NA	492	804	81.1	EEMAC _ 2008b
Barones	EEMAC	2008b	4.2	76.1	14.2	841	37	45.4	NA	321	282	78.2	EEMAC _ 2008b
BCD47	EEMAC	2008b	5.6	79.2	15.7	1252	49.9	31.9	NA	360	128	NA	EEMAC _ 2008b
Beka	EEMAC	2008b	4.4	78.7	14.8	922	38.9	65.5	NA	392	355	74.3	EEMAC _ 2008b
Berolin	EEMAC	2008b	4.7	75.4	16	806	31.5	39.8	NA	336	691	83	EEMAC _ 2008b
Bido	EEMAC	2008b	4.8	74.9	16.8	950	35.4	45.2	NA	475	482	83	EEMAC _ 2008b
Bonita	EEMAC	2008b	4.9	75.9	15.9	787	30.9	NA	NA	401	714	78.9	EEMAC _ 2008b
Bowman	EEMAC	2008b	4.5	76.9	15.5	907	36.6	NA	NA	317	720	NA	EEMAC _ 2008b
Br2	EEMAC	2008b	4.6	76.9	15.2	797	32.7	49.1	NA	366	575	83.1	EEMAC _ 2008b
C8730	EEMAC	2008b	4.8	76.9	15	773	32.3	NA	NA	372	816	79.6	EEMAC _ 2008b
C8806	EEMAC	2008b	5.2	75.9	15.5	746	30.2	30.1	NA	363	508	79.4	EEMAC _ 2008b
C8828	EEMAC	2008b	4.6	78.3	13.8	827	37.3	49	NA	363	747	78.5	EEMAC _ 2008b
C9035	EEMAC	2008b	5.2	77.5	15.6	832	33.3	34.3	NA	338	519	78.1	EEMAC _ 2008b
C9038	EEMAC	2008b	5.8	76.9	14.6	693	29.8	34.5	NA	442	651	78.7	EEMAC _ 2008b
C9046	EEMAC	2008b	5.5	77.7	14.8	815	34.5	33.9	NA	261	587	79.4	EEMAC _ 2008b
C9053	EEMAC	2008b	4.8	77.1	15.4	845	34.3	NA	NA	250	652	77.7	EEMAC _ 2008b
C9172	EEMAC	2008b	4.5	77	15.3	849	34.7	52.4	NA	424	641	81.1	EEMAC _ 2008b
C9173	EEMAC	2008b	4.5	76.2	14.2	757	33.3	NA	NA	357	764	77.9	EEMAC _ 2008b
C9315	EEMAC	2008b	5.6	75.4	14.7	671	28.5	29.3	NA	437	498	77.1	EEMAC _ 2008b
C9528	EEMAC	2008b	4.7	78.7	14.3	839	36.7	NA	NA	455	849	83.2	EEMAC _ 2008b
C9616	EEMAC	2008b	4.4	75.3	14.3	648	28.3	42.6	NA	291	701	81	EEMAC _ 2008b
Carumbe	EEMAC	2008b	4.8	77.2	14.7	826	35.1	NA	NA	380	650	82.3	EEMAC _ 2008b
Cheri	EEMAC	2008b	5	78.3	15.7	955	38	49.8	NA	403	391	83.7	EEMAC _ 2008b
CLE176	EEMAC	2008b	4.5	76.7	13.2	796	37.6	66.5	NA	359	598	84.1	EEMAC _ 2008b
CLE178	EEMAC	2008b	5.5	79.7	15.7	909	36.2	30.5	NA	400	232	79.9	EEMAC _ 2008b
CLE202	EEMAC	2008b	4.7	79.7	12	728.2	38	70.6	NA	343.7	233.4	79	EEMAC _ 2008b
CLE203	EEMAC	2008b	5	77.5	15.9	798	31.4	50.4	NA	287	328	80.7	EEMAC _ 2008b
CLE226	EEMAC	2008b	4.9	79	14.8	893	37.8	NA	NA	344	381	75.8	EEMAC _ 2008b
CLE232	EEMAC	2008b	4.7	79.2	12.6	714	35.5	NA	NA	271	739	81.2	EEMAC _ 2008b
CLE233	EEMAC	2008b	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EEMAC _ 2008b
Clipper	EEMAC	2008b	4.9	77.2	15.2	940	38.6	39.4	NA	242	294	76.2	EEMAC _ 2008b
Clivia	EEMAC	2008b	4.6	76.8	15.5	784	31.7	56.4	NA	321	671	79.2	EEMAC _ 2008b
Danuta	EEMAC	2008b	4.9	77.3	14.7	927	39.4	49.2	NA	286	348	83.6	EEMAC _ 2008b
Dayman	EEMAC	2008b	4.7	78.9	15.2	887	36.4	58.6	NA	450	620	82.8	EEMAC _ 2008b
Defra	EEMAC	2008b	4.4	77.3	15.3	870	35.6	60.9	NA	420	520	69.9	EEMAC _ 2008b
Diamant	EEMAC	2008b	5.2	77.5	16.1	944	36.6	40.9	NA	428	236	76.4	EEMAC _ 2008b
FNC1	EEMAC	2008b	4.7	77	15.2	785	32.2	45.3	NA	325	681	75	EEMAC _ 2008b
FNC61	EEMAC	2008b	4	77.2	15	969	40.3	43.6	NA	291	340	75.5	EEMAC _ 2008b
FNCI22	EEMAC	2008b	5.1	77.1	15.4	864	35.1	53.3	NA	326	290	76.7	EEMAC _ 2008b
Gull	EEMAC	2008b	5.5	73.2	20	931	29	25.3	NA	297	661	79.6	EEMAC _ 2008b
Haisa	EEMAC	2008b	5.1	76.4	15.7	785	31.2	32.8	NA	407	701	81.5	EEMAC _ 2008b
Hanna	EEMAC	2008b	4.7	75.5	17.1	970	35.4	28.2	NA	338	384	77	EEMAC _ 2008b
Harring	EEMAC	2008b	4.9	77.3	17.2	1136	41.4	39.8	NA	263	435	NA	EEMAC _ 2008b
Isaria	EEMAC	2008b	4.8	75.5	17.4	943	33.8	NA	NA	380	910	76.5	EEMAC _ 2008b
Karl	EEMAC	2008b	4.5	82.9	12	953	49.5	73.3	NA	424	445	85	EEMAC _ 2008b
Kenia	EEMAC	2008b	5.7	76.4	16.2	811	31.3	34.5	NA	275	788	78.2	EEMAC _ 2008b
Lisa	EEMAC	2008b	4.6	73.9	19.7	1109	35.2	NA	NA	458	365	79.1	EEMAC _ 2008b
Logan	EEMAC	2008b	4.9	80.1	13.5	824	38.3	43.7	NA	453	428	83.7	EEMAC _ 2008b
Magn102	EEMAC	2008b	6.1	76.9	16.3	834	31.9	32.9	NA	315	866	75.8	EEMAC _ 2008b
Magn104	EEMAC	2008b	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EEMAC _ 2008b
MaltHed	EEMAC	2008b	5.3	76.7	15.7	866	34.4	27.8	NA	358	549	75	EEMAC _ 2008b
MN599	EEMAC	2008b	5.2	76.7	16.1	891	34.6	33	NA	246	371	79	EEMAC _ 2008b
Mn610	EEMAC	2008b	5.1	76.6	16.2	850	32.8	36.6	NA	284	470	78.9	EEMAC _ 2008b
ND10277	EEMAC	2008b	5.1	77.5	14.2	724	31.8	NA	NA	169	1005	NA	EEMAC _ 2008b
Perun	EEMAC	2008b	4.9	77.5	15.5	862	34.8	45.7	NA	392	258	73.5	EEMAC _ 2008b
Pirolin	EEMAC	2008b	4.5	75.1	16.2	908	35	33.5	NA	443	374	77.5	EEMAC _ 2008b
PlArcher	EEMAC	2008b	4.5	73.4	16.9	881	32.5	34.2	NA	339	670	72.1	EEMAC _ 2008b
Prior	EEMAC	2008b	4.9	75.6	15.4	867	35.3	35.7	NA	244	603	77.3	EEMAC _ 2008b
QAyelen	EEMAC	2008b	5.3	78	14.3	886	38.8	46.6	NA	237	290	75.7	EEMAC _ 2008b
QPampa	EEMAC	2008b	5	75.5	17.1	966	35.4	35.5	NA	391	341	80.9	EEMAC _ 2008b
Quebrac	EEMAC	2008b	5.4	76.8	15.6	748	30.1	28	NA	323	700	76.7	EEMAC _ 2008b
Scarlet	EEMAC	2008b	4.6	78.6	15.2	912	37.4	65.9	NA	409	152	81.9	EEMAC _ 2008b
Stirlin	EEMAC	2008b	5.1	77	15.3	785	32	31.6	NA	445	847	79.7	EEMAC _ 2008b
Trumpf	EEMAC	2008b	4.6	78	15.2	872	35.8	62.3	NA	368	409	80.2	EEMAC _ 2008b
Union	EEMAC	2008b	4.5	75.2	18	947	32.9	40.3	NA	452	380	75.6	EEMAC _ 2008b
Villa	EEMAC	2008b	4.8	75.8	16.8	969	36.1	NA	NA	360	694	79.1	EEMAC _ 2008b
Volla	EEMAC	2008b	4.7	75.9	17.3	937	33.9	49.9	NA	374	529	79.6	EEMAC _ 2008b
WMR1	EEMAC	2008b	5.2	74.3	17.2	915	33.2	24.7	NA	482	696	77.9	EEMAC _ 2008b
Ymer	EEMAC	2008b	5.9	76	17	799	29.3	21.7	NA	454	646	76.8	EEMAC _ 2008b
Ambev48	MUSA	2007	4.5	79.8	10.2	617	38	70	1.58	235	497	81	MUSA _ 2007
Ana	MUSA	2007	4.4	77.5	11.3	659	37	65	1.54	306	428	76	MUSA _ 2007
Atlas57	MUSA	2007	4.7	75.5	9.8	508	32	44	1.58	171	549	78	MUSA _ 2007
Aurore	MUSA	2007	4.7	78.7	10.9	537	31	59	1.78	354	623	81	MUSA _ 2007
Barones	MUSA	2007	4.2	79.3	9.8	614	39	76	1.5	292	699	79	MUSA _ 2007
BCD47	MUSA	2007	4.8	80.4	9.9	757	48	71	1.51	364	223	85	MUSA _ 2007
Beka	MUSA	2007	4.9	81.2	9.3	539	36	72	1.53	269	528	77	MUSA _ 2007
Berolin	MUSA	2007	5.1	79.1	10.2	546	34	73	1.54	250	390	81	MUSA _ 2007
Bido	MUSA	2007	5	80	10.1	596	37	70	1.63	274	617	83	MUSA _ 2007
Bonita	MUSA	2007	4.3	76.4	12.4	680	34	42	1.66	345	589	79	MUSA _ 2007
Bowman	MUSA	2007	4.7	80.3	10.4	647	39	70	1.59	302	444	82	MUSA _ 2007
Br2	MUSA	2007	4.4	80.2	10.2	635	39	72	1.57	266	393	83	MUSA _ 2007
C8730	MUSA	2007	4.7	79.8	10.1	572	36	80	1.53	251	397	82	MUSA _ 2007
C8806	MUSA	2007	4.8	78.8	11.2	625	35	64	1.53	314	301	80	MUSA _ 2007
C8828	MUSA	2007	4.3	80.1	10.6	749	44	69	1.53	362	387	80	MUSA _ 2007
C9035	MUSA	2007	4.9	78.9	11.5	617	34	73	1.52	340	278	78	MUSA _ 2007
C9038	MUSA	2007	4.7	79.4	10.9	550	32	64	1.56	312	396	77	MUSA _ 2007
C9046	MUSA	2007	4.8	79.5	10	550	35	76	1.6	181	538	80	MUSA _ 2007
C9053	MUSA	2007	4.5	79.6	10.2	617	38	72	1.6	182	479	79	MUSA _ 2007
C9172	MUSA	2007	4.8	79.5	9.3	507	34	73	1.6	203	509	78	MUSA _ 2007
C9173	MUSA	2007	4.1	79.4	9	528	37	79	1.63	197	462	78	MUSA _ 2007
C9315	MUSA	2007	4.5	79.1	9.9	539	34	65	1.59	324	396	76	MUSA _ 2007
C9528	MUSA	2007	4.7	80.3	10.7	647	38	75	1.5	392	325	84	MUSA _ 2007
C9616	MUSA	2007	4.7	81.7	10.4	689	41	78	1.53	314	351	84	MUSA _ 2007
Carumbe	MUSA	2007	4.3	80.1	10.4	628	38	69	1.58	300	459	84	MUSA _ 2007
Cheri	MUSA	2007	4.9	81.9	10.6	706	42	80	1.54	304	245	82	MUSA _ 2007
CLE176	MUSA	2007	4.2	78.3	10.6	654	39	71	1.49	304	549	84	MUSA _ 2007
CLE178	MUSA	2007	4.9	77.7	10.4	553	33	56	1.6	255	642	78	MUSA _ 2007
CLE202	MUSA	2007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	MUSA _ 2007
CLE203	MUSA	2007	4.4	79.5	11.2	682	38	77	1.53	215	518	79	MUSA _ 2007
CLE226	MUSA	2007	4.6	80.7	10.5	665	40	77	1.5	279	218	77	MUSA _ 2007
CLE232	MUSA	2007	4.3	81.6	9.3	557	38	80	1.53	200	334	81	MUSA _ 2007
CLE233	MUSA	2007	4.9	79.9	10.4	595	36	82	1.52	305	223	82	MUSA _ 2007
Clipper	MUSA	2007	4.4	79.7	10.3	682	41	71	1.55	218	434	77	MUSA _ 2007
Clivia	MUSA	2007	4.9	79.6	10.1	535	33	70	1.56	223	472	78	MUSA _ 2007
Danuta	MUSA	2007	4.1	80.2	10	691	43	86	1.47	204	164	83	MUSA _ 2007
Dayman	MUSA	2007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	MUSA _ 2007
